,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt
0,1.29e+18,"#Agabuutikidde: - Aba 'Internal Affairs"" bazzeemu okukola. Passport enkadde zaakukoma mwaka guno okukola. https://t.co/OLRN07UL2D",1,3
1,1.29e+18,"#Agabuutikidde: Poliisi ekubye amasasi ng'ekwata abeekalakaasa. 
https://t.co/yiE17RHCiK https://t.co/MdDBPto5Je",0,0
2,1.29e+18,#Uganda: Agabuutikidde:  Abaagala okwesimbawo bawera nkolokooto. https://t.co/88LSsz8m2D,0,0
3,1.29e+18,#Uganda: Agabuutikidde:     Kyagulanyi ayanjudde ekibiina nâ€™akabonero. https://t.co/Ru4kO8I293,0,0
4,1.29e+18,#Uganda: Agabuutikidde:    Akeedi zizzeemu okukola mu kibuga. https://t.co/jsrOogYWdF,0,0
5,1.29e+18,#Uganda: Agabuutikidde:   Gavumenti yaakuddamu okwekebejja COVID mu bantu. https://t.co/1aLLTwWyzE,0,0
6,1.29e+18,#Uganda: Agabuutikidde:    Ogwa  Asnansi gwongezeddwaayo. https://t.co/fACLS6221h,0,0
7,1.29e+18,#Uganda: Agabuutikidde:    Ogwa  Asnansi gwongezeddwaayo. https://t.co/lHSK72snlu,0,0
8,1.29e+18,#Uganda: Agabuutikidde:   Mujje Amasinzizo  ku muggalo. https://t.co/KLMo4aexUl,0,0
9,1.29e+18,#Uganda: Agabuutikidde:   Mujje Amasinzizo  ku muggalo. https://t.co/RCYmjMyUye,0,0
10,1.29e+18,#Uganda: Agabuutikidde:  Aba DP Bloc baakuwagira Kyagulanyi. https://t.co/AG8LFIYaBB,0,0
11,1.29e+18,#Uganda: Agabuutikidde:  Aba DP Bloc baakuwagira Kyagulanyi. https://t.co/XPvr5dhVGr,0,0
12,1.29e+18,#Uganda: Agabuutikidde:Abâ€™omuzannyo gwâ€™emifumbi balajaana. https://t.co/AruD1XJB2W,0,0
13,1.29e+18,#Uganda: Agabuutikidde: Abasubuuzi bakyekalakaasa lwa za Bupangisa. https://t.co/okuQQlI7lt,0,0
14,1.29e+18,"#Agabuutikidde: - Aba NUP batongozza Kaadi ne Ssemateeka. 
https://t.co/WP9kN4oRVR https://t.co/K5BJf0IPbz",1,4
15,1.29e+18,#Agabuutikidde: Tukyeyongerayo ne Aidah Nakkazi. https://t.co/CYSJPAgipE,0,0
16,1.29e+18,"#Agabuutikidde: Mao asanyukidde ekya Lukwago okugenda mu FDC . ""Omuti nebweguba munene gutya, tegufuuka kibira.""Maoâ€¦ https://t.co/JC32n5QrxL",7,33
17,1.29e+18,#agabuutikidde: - Loodi Mmeeya Lukwago yeegasse ku FDC. Besigye amwanirizza . Lukwago n'awera. https://t.co/7wplL81bbp,1,2
18,1.29e+18,"#Agabuutikidde: Pulezidenti Museveni ayiseemu butereevu.@NRMOnline 
https://t.co/melEUmLryE https://t.co/XPOqBDsXBU",1,0
19,1.29e+18,#Uganda: Agabuutikidde:  Norbert Mao akukkulumidde Poliisi. https://t.co/dIp6SLkqIJ,0,0
20,1.29e+18,#Uganda: Agabuutikidde:     Okuggyaayo empapula  mu kibiina kya NRM. https://t.co/2diRcgjJir,0,0
21,1.29e+18,#Uganda: Agabuutikidde: Aba Boda Boda baweereddwa ebikozesebwa ku COVID19. https://t.co/Z1RBzmlLYX,0,1
22,1.29e+18,#Agabuutikidde: Embeera y'obudde nga bweyimiridde. https://t.co/dB2SIt83sL,0,3
23,1.29e+18,#Agabuutikidde: Okusunsula abakiise ba CEC kuli mu ggiya. https://t.co/yGmV2a4kbG,0,2
24,1.29e+18,"#Agabuutikidde: Poliisi ekoze ekikwekweeto ku Boda boda. 
https://t.co/dj6GpiJO3m https://t.co/euRjKoeiS5",0,2
25,1.29e+18,#Uganda: Agabuutikidde: Bannakibiina e Bukomansimbi balonze akamyuufu ka DP. https://t.co/anSAnXHEDj,0,0
26,1.29e+18,#Uganda: Agabuutikidde:  Omusubuuzi wâ€™amatooke afiiridde mu kabenje. https://t.co/74M8D1phit,0,0
27,1.29e+18,#Uganda: Agabuutikidde:  Abakozi ba KCCA batadde wansi ebikola. . https://t.co/Rproqpps0c,0,0
28,1.29e+18,#Uganda: Agabuutikidde:  Abaazirwanako balaajaanidde Pulezidenti. https://t.co/ZJzw7TPj9n,0,0
29,1.29e+18,#Uganda: Agabuutikidde: Poliisi erabudde abagikolako obulumbaganyi nâ€™effujjo. https://t.co/RpLISJdcmQ,0,0
30,1.29e+18,#Uganda: Agabuutikidde:   Aba St. Balikuddembe FC baagala FUFA ebayambe. https://t.co/8sBrEwFjBe,0,0
31,1.29e+18,"#Agabuutikidde: Tugatandise twegatteko. Tugoberere wano: 
https://t.co/grslWwTMXD https://t.co/6bGxFQKjRY",0,2
32,1.29e+18,#Agabuutikidde: Ab'omuzannyo gw'emifumbi balajaana. https://t.co/RhllnG5y6Z via @YouTube,0,1
33,1.29e+18,#AGABUUTIKIDDE: https://t.co/7jOh4kZDYR,0,7
34,1.29e+18,"#Agabuutikidde: - Poliisi esiibye egobagana n'abasubuuzi.
- Okujjayo empapula mu NRM ku babaka.
- Eyali Pulezidentiâ€¦ https://t.co/tuoC1AV8kJ",1,5
35,1.29e+18,#Uganda: Agabuutikidde: Gavumenti etandise okuddaabiriza oluguudo lwe Nakifuma. https://t.co/K17RCVmW4l,0,0
36,1.29e+18,"#Agataliikomuttuntu:Poliisi ekubye amasasi ng'ekwata abasuubuzi.
https://t.co/nadB5FbXOf https://t.co/1jWxpirnTp",1,4
37,1.29e+18,"#Agataliikomuttuntu:Owa boda atomeddwa n'afiirawo nga bukya.
https://t.co/nadB5FbXOf https://t.co/U2ztZOpxry",2,4
38,1.29e+18,"#Agataliikomuttuntu:Omugagga awangudde oluggi lw'omupangisa.
https://t.co/nadB5FbXOf https://t.co/B59bsQ0UfB",3,6
39,1.29e+18,"#Agataliikomuttuntu:Obutabanguko mu maka,omukazi asse bba.
https://t.co/nadB5FbXOf https://t.co/LGUOiER9Pt",0,2
40,1.29e+18,"#Agataliikomuttuntu:Twegatteko ku @bukeddetv ðŸ‘‡ðŸ½ðŸ‘‡ðŸ½
https://t.co/nadB5FbXOf https://t.co/5jdKyFSvCB",1,4
41,1.29e+18,"#Agataliikomuttuntu:Batandise okusomesa aba boda eby'okugoberera.
https://t.co/NbEdHpC3VX https://t.co/nmYufPjCbp",2,4
